8599224;Si;No;Falta de dinero;Ninguno;Sexto Primaria;Trabajador(a) cuenta propia agra­cola
8599224;Si;Si;;Tercero Primaria;Segundo Primaria;
8599250;Si;No;Falta de dinero;Ninguno;Tercero Primaria;Trabajador(a) cuenta propia agra­cola
8599250;No;Si;;Preprimaria;Ninguno;
8599250;Si;Si;;Primero Basico;Sexto Primaria;
8599250;Si;Si;;Sexto Primaria;Quinto Primaria;
8599250;Si;Si;;Tercero Primaria;Segundo Primaria;
8600465;Si;Si;;Cuarto Primaria;Tercero Primaria;
8600465;No;No;Falta de dinero;Ninguno;Ninguno;Trabajador(a) cuenta propia agra­cola
8600465;No;No;Otra causa;Ninguno;Ninguno;
8600465;Si;Si;;Segundo Primaria;Primero Primaria;
8600468;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia agra­cola
8600468;No;Si;;Preprimaria;Ninguno;
8600468;Si;Si;;Quinto Primaria;Cuarto Primaria;
8600468;Si;Si;;Tercero Primaria;Segundo Primaria;
8600484;No;No;Falta de dinero;Ninguno;Ninguno;Trabajador(a) cuenta propia agra­cola
8600484;Si;Si;;Sexto Primaria;Quinto Primaria;
8600484;Si;Si;;Tercero Primaria;Segundo Primaria;
8600499;No;No;Falta de dinero;Ninguno;Ninguno;No Trabaja
8600499;Si;Si;;Primero Basico;Sexto Primaria;
8600499;Si;Si;;Primero Primaria;Preprimaria;
8600502;No;No;Falta de dinero;Ninguno;Ninguno;No Trabaja
8600502;No;No;Otra causa;Ninguno;Ninguno;
8600502;Si;Si;;Primero Basico;Sexto Primaria;
8600514;No;No;La madre trabaja;Ninguno;Ninguno;No Trabaja
8600514;No;No;Otra causa;Ninguno;Ninguno;
8600514;Si;Si;;Primero Primaria;Preprimaria;
8600514;Si;Si;;Tercero Primaria;Segundo Primaria;
8600711;Si;No;Falta de dinero;Ninguno;Cuarto Primaria;No Trabaja
8600711;Si;Si;;Primero Primaria;Preprimaria;
8600711;Si;Si;;Tercero Primaria;Segundo Primaria;
8600713;Si;No;Falta de dinero;Ninguno;Cuarto Primaria;Trabajador(a) cuenta propia agra­cola
8600713;Si;Si;;Primero Primaria;Preprimaria;
8600715;Si;No;Falta de dinero;Ninguno;Segundo Primaria;No Trabaja
8600715;Si;Si;;Primero Primaria;Preprimaria;
8601550;No;No;Falta de dinero;Ninguno;Ninguno;Trabajador(a) cuenta propia agra­cola
8601550;Si;Si;;Primero Primaria;Preprimaria;
8601564;No;No;Otra causa;Ninguno;Ninguno;No Trabaja
8601564;Si;Si;;Sexto Primaria;Quinto Primaria;
8698684;No;No;Falta de dinero;Ninguno;Ninguno;No Trabaja
8698684;Si;Si;;Segundo Primaria;Primero Primaria;
8699838;Si;Si;;Cuarto Primaria;Tercero Primaria;
8699838;No;No;No le interesa;Ninguno;Ninguno;No Trabaja
8699838;No;No;Otra causa;Ninguno;Ninguno;
8699838;Si;Si;;Primero Basico;Sexto Primaria;
8699838;No;Si;;Primero Primaria;Preprimaria;
8797798;No;No;Falta de dinero;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
8797798;No;Si;;Primero Primaria;Preprimaria;
8797798;No;Si;;Segundo Primaria;Primero Primaria;
8797802;Si;No;Falta de dinero;Ninguno;Tercero Primaria;Trabajador(a) cuenta propia no agra­cola
8797802;No;Si;;Preprimaria;Ninguno;
8797802;Si;Si;;Tercero Primaria;Segundo Primaria;
8797804;Si;No;Trabajo;Ninguno;Sexto Primaria;Trabajador(a) cuenta propia no agra­cola
8797804;Si;Si;;Sexto Primaria;Quinto Primaria;
8797830;Si;No;Falta de dinero;Ninguno;Primero Primaria;Trabajador(a) cuenta propia no agra­cola
8797830;Si;Si;;Quinto Primaria;Cuarto Primaria;
8797893;Si;No;Otra causa;Ninguno;Cuarto Primaria;Trabajador(a) cuenta propia no agra­cola
8797893;No;Si;;Preprimaria;Ninguno;
8797893;Si;Si;;Sexto Primaria;Quinto Primaria;
8797893;Si;Si;;Tercero Basico;Segundo Basico;
8797895;Si;Si;;Cuarto Primaria;Tercero Primaria;
8797895;Si;No;Trabajo;Ninguno;Sexto Primaria;Trabajador(a) cuenta propia no agra­cola
8797895;No;Si;;Preprimaria;Ninguno;
8797895;Si;Si;;Segundo Primaria;Primero Primaria;
8797904;No;No;Falta de dinero;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
8797904;Si;Si;;Sexto Primaria;Quinto Primaria;
8797904;Si;Si;;Tercero Primaria;Segundo Primaria;
8797920;Si;No;Otra causa;Ninguno;Cuarto Primaria;Trabajador(a) cuenta propia no agra­cola
8797920;Si;Si;;Quinto Primaria;Cuarto Primaria;
8797920;Si;Si;;Segundo Primaria;Primero Primaria;
8797923;Si;No;Falta de dinero;Ninguno;Cuarto Primaria;Trabajador(a) cuenta propia no agra­cola
8797923;Si;Si;;Quinto Primaria;Cuarto Primaria;
8797923;Si;Si;;Sexto Primaria;Quinto Primaria;
8798020;Si;No;Otra causa;Ninguno;Cuarto Primaria;Trabajador(a) cuenta propia no agra­cola
8798020;Si;No;Falta de dinero;Ninguno;Sexto Primaria;
8798020;No;Si;;Preprimaria;Ninguno;
9248386;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
9248386;No;No;Otra causa;Ninguno;Ninguno;
9248386;Si;Si;;Tercero Primaria;Segundo Primaria;
9248390;Si;No;Falta de dinero;Ninguno;Tercero Primaria;No Trabaja
9248390;Si;Si;;Primero Primaria;Preprimaria;
9248528;Si;No;Otra causa;Ninguno;Sexto Primaria;No Trabaja
9248528;No;Si;;Primero Primaria;Preprimaria;
9248528;Si;Si;;Segundo Primaria;Primero Primaria;
9248868;No;No;Otra causa;Ninguno;Ninguno;No Trabaja
9248868;Si;Si;;Quinto Primaria;Cuarto Primaria;
9248868;Si;Si;;Segundo Basico;Primero Basico;
9249118;Si;No;Falta de dinero;Ninguno;Tercero Primaria;No Trabaja
9249118;Si;Si;;Preprimaria;Ninguno;
9249118;Si;Si;;Tercero Primaria;Segundo Primaria;
9249613;Si;No;Falta de dinero;Ninguno;Tercero Primaria;No Trabaja
9249613;No;Si;;Preprimaria;Ninguno;
9249613;Si;Si;;Quinto Primaria;Cuarto Primaria;
9297783;Si;No;Falta de dinero;Ninguno;Segundo Basico;Trabajador(a) cuenta propia no agra­cola
9297783;Si;Si;;Tercero Primaria;Segundo Primaria;
9298969;Si;No;Trabajo;Ninguno;Cuarto Primaria;Trabajador(a) cuenta propia agra­cola
9298969;Si;Si;;Quinto Primaria;Cuarto Primaria;
9298969;Si;Si;;Tercero Primaria;Segundo Primaria;
9300325;No;No;Falta de dinero;Ninguno;Ninguno;Trabajador(a) cuenta propia agra­cola
9300325;No;Si;;Segundo Primaria;Primero Primaria;
9300325;Si;Si;;Sexto Primaria;Quinto Primaria;
9300455;No;No;Falta de dinero;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
9300455;No;Si;;Preprimaria;Ninguno;
9300455;Si;Si;;Tercero Primaria;Segundo Primaria;
9300504;No;No;Falta de dinero;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
9300504;No;Si;;Primero Primaria;Preprimaria;
9300697;Si;Si;;Cuarto Primaria;Tercero Primaria;
9300697;No;No;Falta de dinero;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
9300697;Si;Si;;Segundo Primaria;Primero Primaria;
9300697;Si;Si;;Sexto Primaria;Quinto Primaria;
9300701;No;No;Trabajo;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
9300701;Si;Si;;Quinto Primaria;Cuarto Primaria;
9300709;No;No;Otra causa;Ninguno;Ninguno;
9300709;Si;No;No le interesa;Ninguno;Quinto Primaria;Trabajador(a) cuenta propia no agra­cola
